Dataset,K,Condition,ContainEM (prim.),EM,F1 (secondary),Hallucination,Entailment,NonFinite,Degen.,KV Size (MB),TTFT (s),Latency (s),wiki_pages,n_examples,paired_n
hotpotqa,1,Full-Context Oracle,0.2600,0.1200,0.1865,0.4184,0.3202,0,0.0000,0.000,1.0056,1.0056,0,200,83
hotpotqa,1,FP16 Precomputed-KV,0.2600,0.1250,0.1948,0.3614,0.3852,0,0.0000,11.413,0.0771,0.9533,0,200,83
hotpotqa,1,INT8 Precomputed-KV,0.2400,0.1050,0.1672,0.3855,0.3783,0,0.0000,6.063,0.0685,0.9862,0,200,83
hotpotqa,1,INT4 Precomputed-KV,0.2400,0.0600,0.1348,0.4578,0.4157,0,0.0200,3.210,0.0684,1.6088,0,200,83
hotpotqa,3,Full-Context Oracle,0.4700,0.1800,0.3208,0.2162,0.3310,0,0.0000,0.000,1.0610,1.0610,0,200,137
hotpotqa,3,FP16 Precomputed-KV,0.4650,0.1850,0.3176,0.2044,0.3257,0,0.0000,27.035,0.0692,1.0326,0,200,137
hotpotqa,3,INT8 Precomputed-KV,0.4400,0.1850,0.3102,0.1971,0.3345,0,0.0000,14.362,0.0686,1.0579,0,200,137
hotpotqa,3,INT4 Precomputed-KV,0.3700,0.0800,0.1639,0.3212,0.3706,0,0.0150,7.603,0.0744,1.9827,0,200,137
hotpotqa,5,Full-Context Oracle,0.5350,0.2400,0.3698,0.1783,0.2286,0,0.0000,0.000,1.0396,1.0396,0,200,145
hotpotqa,5,FP16 Precomputed-KV,0.5150,0.2400,0.3654,0.1655,0.2361,0,0.0000,43.060,0.0695,0.9789,0,200,145
hotpotqa,5,INT8 Precomputed-KV,0.5200,0.2350,0.3595,0.2069,0.2257,0,0.0000,22.876,0.0715,1.0128,0,200,145
hotpotqa,5,INT4 Precomputed-KV,0.2950,0.0550,0.1354,0.4138,0.2054,0,0.0400,12.111,0.0688,2.2504,0,200,145
