"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"hotpotqa","1","C0","Full-Context Oracle","standard_causal","full_context","0","200","41","98","0","83","0.51","0","0","0.0","0.12","0.26","0.1865","0.4184","0.3202","1.0056","1.0056","0.0","0"
"hotpotqa","1","C1","FP16 Precomputed-KV","standard_causal","full_context","0","200","30","83","0","83","0.535","0","0","0.0","0.125","0.26","0.1948","0.3614","0.3852","0.0771","0.9533","0.0737","11412602"
"hotpotqa","1","C2","INT8 Precomputed-KV","standard_causal","full_context","0","200","32","83","0","83","0.54","0","0","0.0","0.105","0.24","0.1672","0.3855","0.3783","0.0685","0.9862","0.088","6062945"
"hotpotqa","1","C3","INT4 Precomputed-KV","standard_causal","full_context","0","200","38","83","0","83","0.325","0","4","0.02","0.06","0.24","0.1348","0.4578","0.4157","0.0684","1.6088","0.1284","3209794"
"hotpotqa","3","C0","Full-Context Oracle","standard_causal","full_context","0","200","32","148","11","137","0.26","0","0","0.0","0.18","0.47","0.3208","0.2162","0.331","1.061","1.061","0.0","0"
"hotpotqa","3","C1","FP16 Precomputed-KV","standard_causal","full_context","0","200","28","137","10","137","0.255","0","0","0.0","0.185","0.465","0.3176","0.2044","0.3257","0.0692","1.0326","0.0755","27034542"
"hotpotqa","3","C2","INT8 Precomputed-KV","standard_causal","full_context","0","200","27","137","10","137","0.26","0","0","0.0","0.185","0.44","0.3102","0.1971","0.3345","0.0686","1.0579","0.0889","14362100"
"hotpotqa","3","C3","INT4 Precomputed-KV","standard_causal","full_context","0","200","44","137","10","137","0.165","0","3","0.015","0.08","0.37","0.1639","0.3212","0.3706","0.0744","1.9827","0.1298","7603464"
"hotpotqa","5","C0","Full-Context Oracle","standard_causal","full_context","0","200","28","157","76","145","0.215","0","0","0.0","0.24","0.535","0.3698","0.1783","0.2286","1.0396","1.0396","0.0","0"
"hotpotqa","5","C1","FP16 Precomputed-KV","standard_causal","full_context","0","200","24","145","66","145","0.215","0","0","0.0","0.24","0.515","0.3654","0.1655","0.2361","0.0695","0.9789","0.0766","43059896"
"hotpotqa","5","C2","INT8 Precomputed-KV","standard_causal","full_context","0","200","30","145","66","145","0.205","0","0","0.0","0.235","0.52","0.3595","0.2069","0.2257","0.0715","1.0128","0.0892","22875569"
"hotpotqa","5","C3","INT4 Precomputed-KV","standard_causal","full_context","0","200","60","145","66","145","0.125","0","8","0.04","0.055","0.295","0.1354","0.4138","0.2054","0.0688","2.2504","0.1301","12110595"
