Dataset,K,Condition,ContainEM (prim.),EM,F1 (secondary),Hallucination,Entailment,NonFinite,Degen.,KV Size (MB),TTFT (s),Latency (s),wiki_pages,n_examples,paired_n
hotpotqa,1,Full-Context Oracle,0.2600,0.1200,0.1865,0.4184,0.3203,0,0.0000,0.000,0.9926,0.9926,0,200,83
hotpotqa,1,FP16 Precomputed-KV,0.2600,0.1250,0.1948,0.3614,0.3853,0,0.0000,11.413,0.0758,0.9372,0,200,83
hotpotqa,1,INT8 Precomputed-KV,0.2400,0.1050,0.1672,0.3855,0.3784,0,0.0000,6.063,0.0671,0.9683,0,200,83
hotpotqa,1,INT4 Precomputed-KV,0.2400,0.0600,0.1348,0.4578,0.4062,0,0.0200,3.210,0.0672,1.5838,0,200,83
hotpotqa,3,Full-Context Oracle,0.4700,0.1800,0.3208,0.3581,0.3939,0,0.0000,0.000,1.0453,1.0453,0,200,137
hotpotqa,3,FP16 Precomputed-KV,0.4650,0.1850,0.3176,0.3285,0.3902,0,0.0000,27.035,0.0680,1.0151,0,200,137
hotpotqa,3,INT8 Precomputed-KV,0.4400,0.1850,0.3102,0.3723,0.3660,0,0.0000,14.362,0.0673,1.0407,0,200,137
hotpotqa,3,INT4 Precomputed-KV,0.3700,0.0800,0.1639,0.6058,0.3875,0,0.0150,7.603,0.0732,1.9505,0,200,137
hotpotqa,5,Full-Context Oracle,0.5350,0.2400,0.3698,0.2866,0.3799,0,0.0000,0.000,1.0193,1.0193,0,200,145
hotpotqa,5,FP16 Precomputed-KV,0.5150,0.2400,0.3654,0.2759,0.4040,0,0.0000,43.060,0.0681,0.9639,0,200,145
hotpotqa,5,INT8 Precomputed-KV,0.5200,0.2350,0.3595,0.2966,0.4034,0,0.0000,22.876,0.0700,0.9914,0,200,145
hotpotqa,5,INT4 Precomputed-KV,0.2950,0.0550,0.1354,0.6000,0.2978,0,0.0400,12.111,0.0702,2.2072,0,200,145
