"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"hotpotqa","1","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","200","41","98","0","83","0.51","0","0","0.0","0.12","0.26","0.1865","0.4184","0.3203","0.9926","0.9926","0.0","0"
"hotpotqa","1","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","200","30","83","0","83","0.535","0","0","0.0","0.125","0.26","0.1948","0.3614","0.3853","0.0758","0.9372","0.0725","11412602"
"hotpotqa","1","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","200","32","83","0","83","0.54","0","0","0.0","0.105","0.24","0.1672","0.3855","0.3784","0.0671","0.9683","0.0869","6062945"
"hotpotqa","1","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","200","38","83","0","83","0.325","0","4","0.02","0.06","0.24","0.1348","0.4578","0.4062","0.0672","1.5838","0.1272","3209794"
"hotpotqa","3","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","200","53","148","11","137","0.26","0","0","0.0","0.18","0.47","0.3208","0.3581","0.3939","1.0453","1.0453","0.0","0"
"hotpotqa","3","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","200","45","137","10","137","0.255","0","0","0.0","0.185","0.465","0.3176","0.3285","0.3902","0.068","1.0151","0.0741","27034542"
"hotpotqa","3","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","200","51","137","10","137","0.26","0","0","0.0","0.185","0.44","0.3102","0.3723","0.366","0.0673","1.0407","0.0877","14362100"
"hotpotqa","3","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","200","83","137","10","137","0.165","0","3","0.015","0.08","0.37","0.1639","0.6058","0.3875","0.0732","1.9505","0.1285","7603464"
"hotpotqa","5","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","200","45","157","76","145","0.215","0","0","0.0","0.24","0.535","0.3698","0.2866","0.3799","1.0193","1.0193","0.0","0"
"hotpotqa","5","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","200","40","145","66","145","0.215","0","0","0.0","0.24","0.515","0.3654","0.2759","0.404","0.0681","0.9639","0.075","43059896"
"hotpotqa","5","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","200","43","145","66","145","0.205","0","0","0.0","0.235","0.52","0.3595","0.2966","0.4034","0.07","0.9914","0.0876","22875569"
"hotpotqa","5","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","200","87","145","66","145","0.125","0","8","0.04","0.055","0.295","0.1354","0.6","0.2978","0.0702","2.2072","0.1282","12110595"
