"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","full_context","0","300","12","256","0","256","0.1467","0","0","0.0","0.0067","0.77","0.2593","0.0469","0.7729","1.0378","1.0378","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","12","256","0","256","0.1433","0","0","0.0","0.0067","0.7767","0.2629","0.0469","0.7786","0.0816","1.4529","0.0797","10202234"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","12","256","0","256","0.1433","0","0","0.0","0.0067","0.7767","0.2638","0.0469","0.7782","0.0752","1.357","0.109","5419937"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","31","256","0","256","0.0467","0","9","0.03","0.0433","0.7067","0.2527","0.1211","0.648","0.0587","1.3238","0.1362","2709968"
"rgb","3","C0","Full-Context Oracle","standard_causal","full_context","0","300","8","291","167","288","0.03","0","0","0.0","0.0133","0.9133","0.3107","0.0275","0.6547","1.1325","1.1325","0.0","0"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","9","288","164","288","0.0333","0","0","0.0","0.01","0.91","0.3082","0.0312","0.6605","0.0561","1.1176","0.056","25286615"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","8","288","164","288","0.0333","0","0","0.0","0.01","0.9067","0.309","0.0278","0.655","0.0556","1.0656","0.1198","13433514"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","28","288","164","288","0.0167","0","0","0.0","0.0433","0.9067","0.3123","0.0972","0.5989","0.059","1.3655","0.1725","6716757"
"rgb","5","C0","Full-Context Oracle","standard_causal","full_context","0","300","5","298","254","298","0.0067","0","0","0.0","0.0133","0.96","0.3197","0.0168","0.7257","1.2559","1.2559","0.0","0"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","5","298","254","298","0.0067","0","0","0.0","0.01","0.96","0.3194","0.0168","0.7292","0.0579","1.1908","0.073","40062689"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","6","298","254","298","0.0067","0","0","0.0","0.0133","0.96","0.3217","0.0201","0.7213","0.0602","1.1407","0.184","21283303"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","12","298","254","298","0.0033","0","3","0.01","0.0433","0.92","0.3211","0.0403","0.6573","0.0591","1.2437","0.2352","10641651"
