"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","12","256","0","256","0.1467","0","0","0.0","0.0067","0.77","0.2593","0.0469","0.7726","1.0556","1.0556","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","12","256","0","256","0.1433","0","0","0.0","0.0067","0.7767","0.2629","0.0469","0.7722","0.0581","1.0322","0.0566","10202234"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","12","256","0","256","0.1433","0","0","0.0","0.0067","0.7767","0.2638","0.0469","0.772","0.0647","1.1618","0.0937","5419937"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","31","256","0","256","0.0467","0","9","0.03","0.0433","0.7067","0.2527","0.1211","0.6303","0.0689","1.5592","0.1585","2709968"
"rgb","3","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","13","291","167","288","0.03","0","0","0.0","0.0133","0.9133","0.3107","0.0447","0.8678","1.1836","1.1836","0.0","0"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","13","288","164","288","0.0333","0","0","0.0","0.01","0.91","0.3082","0.0451","0.8738","0.0598","1.1837","0.0583","25286615"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","12","288","164","288","0.0333","0","0","0.0","0.01","0.9067","0.309","0.0417","0.8666","0.0597","1.1354","0.1209","13433514"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","36","288","164","288","0.0167","0","0","0.0","0.0433","0.9067","0.3123","0.125","0.8197","0.0599","1.3831","0.172","6716757"
"rgb","5","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","7","298","254","298","0.0067","0","0","0.0","0.0133","0.96","0.3197","0.0235","0.9206","1.2689","1.2689","0.0","0"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","7","298","254","298","0.0067","0","0","0.0","0.01","0.96","0.3194","0.0235","0.9222","0.0609","1.2468","0.0744","40062689"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","7","298","254","298","0.0067","0","0","0.0","0.0133","0.96","0.3217","0.0235","0.9171","0.0599","1.1303","0.1837","21283303"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","15","298","254","298","0.0033","0","3","0.01","0.0433","0.92","0.3211","0.0503","0.8847","0.0593","1.2554","0.2348","10641651"
