dataset,k,condition,hhem_hallucination,nli_entailment,llm_faithful_rate,llm_correct_rate,n_llm
rgb,1,C0,0.0584,0.7058,N/A,N/A,0
rgb,1,C1,0.0667,0.7096,0.8643,0.8217,258
rgb,1,C2,0.1004,0.7137,N/A,N/A,0
rgb,1,C3,0.1569,0.6602,0.6955,0.6767,266
rgb,3,C0,0.0412,0.562,N/A,N/A,0
rgb,3,C1,0.035,0.5883,0.8591,0.8625,291
rgb,3,C2,0.0756,0.5666,N/A,N/A,0
rgb,3,C3,0.1818,0.5373,0.6151,0.6598,291
rgb,5,C0,0.0203,0.635,N/A,N/A,0
rgb,5,C1,0.0171,0.6268,0.8653,0.8822,297
rgb,5,C2,0.0306,0.6035,N/A,N/A,0
rgb,5,C3,0.2774,0.5145,0.5356,0.6,295
