"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","full_context","0","300","16","257","0","249","0.1433","0","0","0.0","0.07","0.7433","0.3209","0.0623","0.7174","1.4701","1.4701","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","15","249","0","249","0.15","0","0","0.0","0.0733","0.75","0.3215","0.0602","0.7307","0.0867","1.4186","0.0831","15870143"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","25","249","0","249","0.16","0","0","0.0","0.06","0.7267","0.3092","0.1004","0.7137","0.0863","1.4091","0.1364","8431013"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","126","249","0","249","0.0633","0","30","0.1","0.0567","0.3867","0.2132","0.506","0.3239","0.0882","2.0861","0.2068","4215506"
"rgb","3","C0","Full-Context Oracle","standard_causal","full_context","0","300","12","291","168","291","0.03","0","0","0.0","0.1333","0.8467","0.3997","0.0412","0.5613","1.5447","1.5447","0.0","0"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","10","291","168","291","0.0267","0","0","0.0","0.1267","0.85","0.3931","0.0344","0.5766","0.088","1.5543","0.0848","39334734"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","22","291","168","291","0.0267","0","0","0.0","0.12","0.8367","0.3913","0.0756","0.5666","0.089","1.4648","0.2153","20896577"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","179","291","168","291","0.0067","0","71","0.2367","0.05","0.3233","0.178","0.6151","0.2855","0.0882","3.174","0.2881","10448288"
"rgb","5","C0","Full-Context Oracle","standard_causal","full_context","0","300","6","297","253","294","0.01","0","0","0.0","0.12","0.91","0.4152","0.0202","0.626","1.84","1.84","0.0","0"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","6","294","251","294","0.01","0","0","0.0","0.1333","0.9067","0.4206","0.0204","0.6241","0.0877","1.6409","0.0897","62319738"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","9","294","251","294","0.0167","0","0","0.0","0.1067","0.87","0.4008","0.0306","0.6035","0.0863","1.4047","0.3271","33107361"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","206","294","251","294","0.0","0","61","0.2033","0.0267","0.2767","0.1498","0.7007","0.3407","0.0866","3.4826","0.401","16553680"
