"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","16","257","0","249","0.1433","0","0","0.0","0.07","0.7433","0.3209","0.0623","0.6782","1.4363","1.4363","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","15","249","0","249","0.15","0","0","0.0","0.0733","0.75","0.3215","0.0602","0.6912","0.082","1.3371","0.0789","15870143"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","25","249","0","249","0.16","0","0","0.0","0.06","0.7267","0.3092","0.1004","0.6877","0.0834","1.3499","0.1341","8431013"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","126","249","0","249","0.0633","0","30","0.1","0.0567","0.3867","0.2132","0.506","0.3198","0.0812","1.9138","0.1966","4215506"
"rgb","3","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","14","291","168","291","0.03","0","0","0.0","0.1333","0.8467","0.3997","0.0481","0.7571","1.4252","1.4252","0.0","0"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","13","291","168","291","0.0267","0","0","0.0","0.1267","0.85","0.3931","0.0447","0.7543","0.083","1.4725","0.0804","39334734"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","28","291","168","291","0.0267","0","0","0.0","0.12","0.8367","0.3913","0.0962","0.7355","0.0873","1.432","0.2143","20896577"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","181","291","168","291","0.0067","0","71","0.2367","0.05","0.3233","0.178","0.622","0.3612","0.093","3.3217","0.2954","10448288"
"rgb","5","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","8","297","253","294","0.01","0","0","0.0","0.12","0.91","0.4152","0.0269","0.8329","1.5943","1.5943","0.0","0"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","8","294","251","294","0.01","0","0","0.0","0.1333","0.9067","0.4206","0.0272","0.8426","0.0864","1.6073","0.0896","62319738"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","12","294","251","294","0.0167","0","0","0.0","0.1067","0.87","0.4008","0.0408","0.7885","0.0936","1.5244","0.3279","33107361"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","203","294","251","294","0.0","0","61","0.2033","0.0267","0.2767","0.1498","0.6905","0.4086","0.0832","3.3248","0.3979","16553680"
