"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","full_context","0","300","15","257","0","255","0.1433","0","0","0.0","0.0833","0.7433","0.3297","0.0584","0.7058","0.916","0.916","0.0","0"
"rgb","3","C0","Full-Context Oracle","standard_causal","full_context","0","300","12","291","168","286","0.03","0","0","0.0","0.1333","0.8467","0.4005","0.0412","0.562","1.0244","1.0244","0.0","0"
"rgb","5","C0","Full-Context Oracle","standard_causal","full_context","0","300","6","296","252","292","0.0133","0","0","0.0","0.1133","0.9133","0.4071","0.0203","0.635","1.1902","1.1902","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","17","255","0","255","0.14","0","0","0.0","0.07","0.7467","0.3206","0.0667","0.7096","0.0539","0.9173","0.0503","15870143"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","10","286","166","286","0.03","0","0","0.0","0.12","0.8567","0.3849","0.035","0.5883","0.0551","1.035","0.057","39334734"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","full_context","0","300","5","292","248","292","0.01","0","0","0.0","0.1233","0.9033","0.4135","0.0171","0.6268","0.0557","1.1303","0.0792","62319738"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","25","249","0","249","0.16","0","0","0.0","0.06","0.7267","0.3092","0.1004","0.7137","0.0863","1.4091","0.1364","8431013"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","22","291","168","291","0.0267","0","0","0.0","0.12","0.8367","0.3913","0.0756","0.5666","0.089","1.4648","0.2153","20896577"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","full_context","0","300","9","294","251","294","0.0167","0","0","0.0","0.1067","0.87","0.4008","0.0306","0.6035","0.0863","1.4047","0.3271","33107361"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","40","255","0","255","0.1133","0","2","0.0067","0.0133","0.6633","0.2351","0.1569","0.6602","0.0534","1.0441","0.1531","4463477"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","52","286","166","286","0.03","0","8","0.0267","0.01","0.7233","0.2348","0.1818","0.5373","0.054","1.2118","0.251","11062894"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","full_context","0","300","81","292","248","292","0.0167","0","18","0.06","0.0167","0.71","0.243","0.2774","0.5145","0.054","1.3441","0.3831","17527426"
