Dataset,K,Condition,ContainEM (prim.),EM,F1 (secondary),Hallucination,Entailment,NonFinite,Degen.,KV Size (MB),TTFT (s),Latency (s),wiki_pages,n_examples,paired_n
rgb,1,Full-Context Oracle,0.7433,0.0833,0.3297,0.0584,0.6638,0,0.0000,0.000,0.9223,0.9223,0,300,255
rgb,1,FP16 Precomputed-KV,0.7467,0.0700,0.3206,0.0667,0.6716,0,0.0000,15.870,0.0545,0.9296,0,300,255
rgb,1,INT8 Precomputed-KV,0.7267,0.0600,0.3092,0.1004,0.6877,0,0.0000,8.431,0.0834,1.3499,0,300,249
rgb,1,INT4 Precomputed-KV,0.6633,0.0133,0.2351,0.1569,0.6459,0,0.0067,4.463,0.0539,1.0536,0,300,255
rgb,3,Full-Context Oracle,0.8467,0.1333,0.4005,0.0481,0.7479,0,0.0000,0.000,1.0334,1.0334,0,300,286
rgb,3,FP16 Precomputed-KV,0.8567,0.1200,0.3849,0.0455,0.7788,0,0.0000,39.335,0.0557,1.0424,0,300,286
rgb,3,INT8 Precomputed-KV,0.8367,0.1200,0.3913,0.0962,0.7355,0,0.0000,20.897,0.0873,1.4320,0,300,291
rgb,3,INT4 Precomputed-KV,0.7233,0.0100,0.2348,0.1958,0.7336,0,0.0267,11.063,0.0541,1.2272,0,300,286
rgb,5,Full-Context Oracle,0.9133,0.1133,0.4071,0.0270,0.8425,0,0.0000,0.000,1.1961,1.1961,0,300,292
rgb,5,FP16 Precomputed-KV,0.9033,0.1233,0.4135,0.0240,0.8344,0,0.0000,62.320,0.0560,1.1329,0,300,292
rgb,5,INT8 Precomputed-KV,0.8700,0.1067,0.4008,0.0408,0.7885,0,0.0000,33.107,0.0936,1.5244,0,300,294
rgb,5,INT4 Precomputed-KV,0.7100,0.0167,0.2430,0.2603,0.7356,0,0.0600,17.527,0.0544,1.3559,0,300,292
