"dataset","k","condition","condition_label","precompute_mode","faithfulness_mode","wiki_pages","n_examples","n_hall","n_total","n_ctx_over_512","paired_n","refusal_rate","n_nonfinite","n_degenerate","degenerate_rate","EM","contain_EM","F1","hallucination_rate","entailment_score","avg_ttft_s","avg_latency_s","avg_io_s","avg_kv_bytes"
"rgb","1","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","15","257","0","255","0.1433","0","0","0.0","0.0833","0.7433","0.3297","0.0584","0.6638","0.9223","0.9223","0.0","0"
"rgb","3","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","14","291","168","286","0.03","0","0","0.0","0.1333","0.8467","0.4005","0.0481","0.7479","1.0334","1.0334","0.0","0"
"rgb","5","C0","Full-Context Oracle","standard_causal","per_chunk_max","0","300","8","296","252","292","0.0133","0","0","0.0","0.1133","0.9133","0.4071","0.027","0.8425","1.1961","1.1961","0.0","0"
"rgb","1","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","17","255","0","255","0.14","0","0","0.0","0.07","0.7467","0.3206","0.0667","0.6716","0.0545","0.9296","0.0508","15870143"
"rgb","3","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","13","286","166","286","0.03","0","0","0.0","0.12","0.8567","0.3849","0.0455","0.7788","0.0557","1.0424","0.0574","39334734"
"rgb","5","C1","FP16 Precomputed-KV","standard_causal","per_chunk_max","0","300","7","292","248","292","0.01","0","0","0.0","0.1233","0.9033","0.4135","0.024","0.8344","0.056","1.1329","0.079","62319738"
"rgb","1","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","25","249","0","249","0.16","0","0","0.0","0.06","0.7267","0.3092","0.1004","0.6877","0.0834","1.3499","0.1341","8431013"
"rgb","3","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","28","291","168","291","0.0267","0","0","0.0","0.12","0.8367","0.3913","0.0962","0.7355","0.0873","1.432","0.2143","20896577"
"rgb","5","C2","INT8 Precomputed-KV","standard_causal","per_chunk_max","0","300","12","294","251","294","0.0167","0","0","0.0","0.1067","0.87","0.4008","0.0408","0.7885","0.0936","1.5244","0.3279","33107361"
"rgb","1","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","40","255","0","255","0.1133","0","2","0.0067","0.0133","0.6633","0.2351","0.1569","0.6459","0.0539","1.0536","0.1547","4463477"
"rgb","3","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","56","286","166","286","0.03","0","8","0.0267","0.01","0.7233","0.2348","0.1958","0.7336","0.0541","1.2272","0.2514","11062894"
"rgb","5","C3","INT4 Precomputed-KV","standard_causal","per_chunk_max","0","300","76","292","248","292","0.0167","0","18","0.06","0.0167","0.71","0.243","0.2603","0.7356","0.0544","1.3559","0.3838","17527426"
